"filename", "language", "Properties", "pip requirements", "Python", "JSON", "Docker", "Markdown", "YAML", "XML", "HTML", "SCSS", "JavaScript", "CSS", "comment", "blank", "total"
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\iraq.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 1, 1, 49
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\ireland.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 1, 1, 39
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\israel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 1, 1, 48
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\italy.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 1, 1, 39
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\ivory-coast.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 1, 40
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\japan.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\kazakhstan.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 1, 45
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\kuwait.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 1, 41
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\latvia.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 1, 41
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\liechtenstein.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 1, 1, 42
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\lithuania.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 1, 40
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\luxembourg.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 1, 1, 39
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\malaysia.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 1, 1, 53
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\mexico.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 1, 1, 47
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\mongolia.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 1, 1, 52
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\montenegro.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 1, 1, 53
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\nauru.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 1, 45
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\netherlands.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 1, 1, 39
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\nicaragua.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 1, 1, 47
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\nigeria.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 1, 41
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\norway.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 1, 1, 48
