"filename", "language", "Python", "XML", "QSS", "Markdown", "HTML", "SQL", "JSON", "CSV", "C++", "comment", "blank", "total"
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_login_admin_internal.py", "Python", 98, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 128
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_login_crm.py", "Python", 95, 0, 0, 0, 0, 0, 0, 0, 0, 10, 19, 124
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_logout.py", "Python", 64, 0, 0, 0, 0, 0, 0, 0, 0, 10, 18, 92
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_longtermliabilitiesedit.py", "Python", 181, 0, 0, 0, 0, 0, 0, 0, 0, 10, 42, 233
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_main.py", "Python", 9849, 0, 0, 0, 0, 0, 0, 0, 0, 180, 2142, 12171
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_payment.py", "Python", 206, 0, 0, 0, 0, 0, 0, 0, 0, 10, 32, 248
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_pos.py", "Python", 95, 0, 0, 0, 0, 0, 0, 0, 0, 10, 18, 123
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_position.py", "Python", 636, 0, 0, 0, 0, 0, 0, 0, 0, 10, 40, 686
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_profile.py", "Python", 702, 0, 0, 0, 0, 0, 0, 0, 0, 16, 46, 764
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_purchase_order.py", "Python", 604, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 634
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_sales_return.py", "Python", 694, 0, 0, 0, 0, 0, 0, 0, 0, 16, 48, 758
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_salesadd.py", "Python", 93, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 112
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_salesedit.py", "Python", 127, 0, 0, 0, 0, 0, 0, 0, 0, 10, 43, 180
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_shorttermliabilitiesadd.py", "Python", 53, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 72
